,region,numberpets,householdsize,homeowner,jobcategory,carbrand,log_car_val,log_hh_income,log_tot_debt,log_tot_value
959,southwest,1,1,0,Service,Foreign,9.532423871,10.34174248,11.80035751,6.430203232
960,southeast,1,2,1,Sales,Domestic,8.961879013,9.472704636,11.12136326,4.879767019
961,midwest,3,1,0,Crafts,Domestic,10.83170686,11.8913619,14.94063494,8.543094829
963,southeast,0,2,1,Professional,Foreign,9.560997244,10.34174248,13.0431037,7.781451613
964,southeast,1,5,0,Labor,Foreign,9.961756461,10.69194491,12.83201108,5.948426557
965,west,2,2,0,Crafts,Foreign,8.68270763,9.210340372,11.70354582,7.041586627
966,northeast,2,3,1,Sales,Foreign,9.629050707,10.20359214,13.22888322,3.33220451
967,midwest,0,3,1,Service,Domestic,10.05620864,10.4341158,12.7367009,6.272782662
968,southwest,1,2,1,Professional,Domestic,10.727663,11.42954386,13.0587844,7.409197011
969,southwest,0,1,1,Sales,Foreign,9.472704636,10.1266311,11.00209984,3.793239469
970,southeast,2,3,1,Service,Foreign,9.609116492,10.54534144,12.81746732,6.862548686
971,west,2,1,1,Crafts,Foreign,10.71219307,11.46163217,13.8411783,7.403274353
972,southeast,0,8,1,Agriculture,Foreign,10.24707726,11.05089001,13.17912171,6.866985366
973,southwest,5,1,1,Sales,Foreign,9.553930076,10.37349118,10.63585545,7.287287005
974,northeast,2,1,0,Sales,Domestic,9.035986985,9.472704636,12.621158,5.93184723
975,southwest,0,3,0,Service,Foreign,9.913437883,11.08214255,12.71138309,5.721949779
976,west,0,2,1,Professional,Domestic,10.76637751,11.90496755,14.32977028,8.131927691
979,west,0,1,0,Sales,Domestic,10.46024211,11.1844214,14.23369444,5.75953249
980,midwest,3,2,0,Service,Foreign,10.27505111,10.87804719,12.4041035,8.594737396
981,west,0,2,1,Labor,Domestic,11.42627766,12.13350195,14.65119843,6.973496202
982,west,0,1,1,Sales,Domestic,9.137769679,10.27505111,13.18195217,6.453073666
983,southeast,4,5,1,Sales,Domestic,10.67127828,11.44035477,14.37951669,8.211727253
984,midwest,5,2,0,Sales,Domestic,10.21829829,11.00209984,11.09741002,3.801091445
985,southeast,0,1,1,Sales,Foreign,9.792555992,10.6454249,13.15502416,6.322206109
986,southeast,1,4,0,Professional,Domestic,10.59913161,11.35040654,13.72065028,6.854776354
988,southwest,1,4,1,Labor,Domestic,9.239899174,10.16585182,12.50765762,6.240373306
989,midwest,1,2,0,Sales,Domestic,8.433811582,9.392661929,11.80857571,3.479700443
991,midwest,1,5,1,Labor,Domestic,10.65725935,11.28978191,14.89255867,8.359052897
992,west,0,2,1,Professional,Domestic,11.16052708,11.82041016,13.01433263,7.926133175
993,midwest,1,2,1,Professional,Domestic,10.78518684,11.41861479,13.54684649,7.963094655
994,west,1,2,0,Professional,Foreign,10.38282251,11.30220443,13.64401024,6.732627783
995,southwest,0,3,0,Service,Foreign,9.200290036,9.952277717,12.29408352,3.606855619
996,midwest,3,1,0,Professional,Foreign,10.90961899,11.22524339,13.3770056,6.6868592
997,west,2,3,1,Professional,Foreign,10.36722157,11.19821472,13.58697751,8.802687873
998,southwest,2,1,0,Service,Domestic,9.296518068,9.740968623,12.35836446,6.753437919
999,west,3,3,1,Sales,Foreign,10.3155972,10.62132735,13.88708676,3.545297726
1000,southeast,1,1,0,Sales,Foreign,9.350102314,9.998797732,12.23950742,5.862209711
1001,midwest,1,1,0,Sales,Domestic,9.45720045,9.998797732,11.88586738,7.184704965
1002,southwest,2,2,1,Crafts,Foreign,9.609116492,10.23995979,13.04936248,7.715636407
1003,northeast,2,5,0,Labor,Domestic,9.45720045,10.20359214,13.07149105,5.6187691
1004,midwest,0,1,0,Professional,Domestic,8.824677891,9.798127037,11.81303006,5.989963421
1005,southwest,1,3,0,Crafts,Domestic,10.16585182,10.59663473,13.44154412,7.775044824
1006,southwest,3,1,1,Crafts,Foreign,10.68051622,11.53272809,13.53420809,7.606263066
1007,southeast,0,3,1,Crafts,Foreign,10.3609124,10.87804719,13.36295384,2.606386547
1008,southeast,0,4,1,Sales,Domestic,9.314700387,10.1266311,11.67419361,7.297328104
1009,northeast,2,1,1,Professional,Foreign,9.568014816,10.04324949,12.05815252,4.180522258
1010,southeast,0,1,0,Professional,Foreign,9.635608107,10.40426284,12.64497253,3.288401888
1012,west,3,3,1,Sales,Foreign,10.51053203,11.09741002,13.59884597,6.094810535
1013,northeast,0,1,1,Labor,Foreign,9.595602773,10.79957558,13.49420276,9.530795735
1014,midwest,0,1,0,Professional,Domestic,9.480367509,10.4341158,12.64239022,7.84842638
1015,southwest,0,1,1,Professional,Foreign,11.07596969,11.61728548,13.61876548,6.07212245
1016,midwest,1,4,0,Sales,Foreign,10.35456317,10.93310697,13.99181404,7.254708116
1017,west,0,1,0,Sales,Foreign,9.137769679,9.852194258,11.90631799,6.630089542
1018,southwest,2,3,1,Labor,Domestic,11.28099341,12.10071213,14.73976946,7.71038447
1019,northeast,2,4,1,Service,Foreign,10.42228135,11.06663836,13.01254851,8.520936178
1021,northeast,0,1,0,Labor,Domestic,9.472704636,10.27505111,12.82449628,7.602775704
1022,northeast,2,3,1,Sales,Domestic,9.825526011,10.20359214,12.3077263,6.868234521
1023,southeast,2,3,0,Sales,Domestic,9.588776808,10.34174248,12.43360655,5.349723155
1024,midwest,0,1,1,Sales,Domestic,9.729134165,10.37349118,12.33358597,7.957072276
1025,northeast,0,1,0,Professional,Domestic,10.51867319,11.12726298,13.75193158,7.358480518
1026,west,3,1,1,Sales,Foreign,8.987196821,9.903487553,12.66349749,6.139237791
1027,southeast,0,2,0,Sales,Foreign,9.888373915,10.27505111,12.40328281,6.753146161
1028,northeast,0,2,0,Sales,Domestic,8.999619341,9.740968623,11.30958454,3.992680908
1030,southeast,0,2,0,Professional,Foreign,8.648221454,9.472704636,12.16055213,6.911846897
1031,southeast,0,1,1,Service,Domestic,9.341368634,9.952277717,11.96718074,7.392031568
1033,west,1,1,1,Professional,Foreign,10.93667204,11.50287513,14.65561115,6.228017785
1034,southwest,2,1,0,Service,Domestic,9.314700387,9.998797732,10.18111929,5.097424424
1035,southeast,0,4,1,Crafts,Domestic,11.45317546,12.39669301,14.56001603,6.682484467
1036,midwest,2,2,1,Sales,Domestic,9.686574551,10.858999,13.1102908,8.60529564
1037,northeast,0,4,1,Crafts,Domestic,9.803667217,10.4341158,12.40819683,7.629246933
1038,west,0,1,0,Crafts,Foreign,8.160518247,9.104979856,11.52978258,7.317710292
1039,southeast,0,2,1,Professional,Foreign,10.53209621,11.06663836,13.41801362,6.209796541
1040,southwest,1,5,1,Sales,Domestic,9.287301413,10.08580911,11.15051985,6.633252642
1041,southwest,3,2,0,Service,Domestic,8.665613197,9.305650552,11.89341459,6.042514062
1042,northeast,1,1,0,Agriculture,Foreign,10.36722157,11.15625052,13.41801362,8.981367362
1043,west,5,2,0,Sales,Domestic,9.961756461,10.79957558,13.00784999,7.032933128
1044,midwest,3,5,1,Sales,Foreign,9.539644119,10.08580911,12.37834387,6.45267967
1045,midwest,0,4,0,Labor,Domestic,9.169518377,9.852194258,10.95080655,4.241326753
1047,west,2,1,1,Service,Foreign,10.30895266,10.77895629,13.40362488,7.63747544
1048,midwest,3,4,0,Professional,Domestic,10.00333289,10.79957558,11.13604781,4.854760907
1049,northeast,2,1,0,Service,Foreign,9.642122788,10.62132735,12.60920169,4.996874379
1050,midwest,1,2,0,Sales,Foreign,9.230142999,10.23995979,12.7736566,7.002747226
1051,west,0,1,0,Professional,Domestic,10.16585182,10.75790288,12.36734079,3.538056564
1052,northeast,1,1,1,Sales,Foreign,9.908475094,10.51867319,13.25951322,5.96229317
1053,west,1,4,0,Labor,Domestic,9.367344121,9.903487553,13.0689626,6.648401479
1054,northeast,0,1,0,Sales,Domestic,8.779557456,9.546812609,12.2346601,4.994505912
1055,west,0,1,1,Service,Domestic,10.51325312,11.19821472,12.93868089,6.746705857
1056,northeast,0,4,1,Labor,Domestic,9.76995616,10.66895539,12.68385842,8.032944583
1057,midwest,0,1,1,Sales,Domestic,9.323669057,9.852194258,11.10495723,7.093238499
1058,southwest,2,1,1,Sales,Foreign,9.836278803,10.4341158,13.08735777,3.425889994
1059,southeast,1,1,1,Sales,Foreign,9.674074388,10.49127422,12.54539795,4.514698283
1060,midwest,1,4,1,Sales,Foreign,11.15625052,11.68687877,13.21293508,8.843247059
1061,midwest,1,4,1,Professional,Domestic,10.86666187,11.49272276,12.7736566,7.033815079
1062,west,1,2,1,Labor,Domestic,10.46310334,11.03488966,13.6522855,6.717320902
1063,southeast,0,1,0,Sales,Foreign,9.61580548,9.952277717,12.1714812,7.753838116
1064,southeast,0,2,0,Sales,Foreign,9.723163998,10.37349118,12.45293272,7.168464328
1065,midwest,3,2,1,Sales,Domestic,9.971146201,10.46310334,11.62625415,9.954988325
1066,west,1,3,1,Service,Domestic,10.3449631,10.83958091,12.03350338,6.065992074
1068,midwest,0,1,0,Sales,Domestic,10.4744671,11.14186178,14.05963252,8.067243138
1069,southeast,0,1,1,Professional,Domestic,9.539644119,10.1266311,12.44901882,4.945918979
1071,west,1,2,1,Service,Foreign,9.568014816,10.08580911,11.73446773,4.965637928
1074,midwest,0,1,0,Service,Domestic,9.92329018,11.08214255,13.93284905,2.90416508
1075,west,3,2,0,Sales,Foreign,10.18490001,10.66895539,13.09375812,3.210843653
1076,northeast,0,1,1,Sales,Foreign,9.409191231,10.37349118,11.9421071,7.245227016
1077,northeast,1,5,1,Professional,Domestic,10.02570519,11.00209984,12.93362125,3.897924081
1078,west,0,2,1,Sales,Domestic,10.71441777,11.3736634,13.00290394,6.87249073
1079,southwest,1,1,0,Professional,Domestic,9.961756461,10.96819829,12.69096489,4.153399325
1080,midwest,0,1,1,Professional,Foreign,10.05190756,10.66895539,13.05771818,6.563220628
1081,southeast,1,5,0,Professional,Foreign,9.239899174,9.903487553,12.15477935,7.205115368
1083,southwest,0,2,0,Sales,Domestic,9.546812609,10.46310334,13.00470533,5.717356595
1084,southwest,0,1,1,Service,Foreign,10.9472916,11.61728548,13.6321885,7.504749425
1085,southeast,3,2,0,Labor,Foreign,8.824677891,10.16585182,12.84687335,8.395036857
1087,southeast,0,1,1,Crafts,Domestic,9.024010794,9.392661929,12.20807065,7.834590225
1088,midwest,1,4,1,Professional,Foreign,9.98506754,10.69194491,12.12702944,5.846005155
1089,southwest,0,5,1,Professional,Foreign,9.220290703,10.30895266,13.38164598,6.16278835
1090,west,6,1,1,Agriculture,Foreign,10.53741537,11.01862914,13.71325632,7.907136377
1091,west,2,2,0,Service,Domestic,8.496990484,9.392661929,12.69954863,5.664348405
1092,midwest,0,5,1,Service,Domestic,11.02026715,11.80559508,14.48661661,7.365085185
1093,southeast,0,1,1,Sales,Foreign,10.08580911,10.73639668,12.68230682,6.983094636
1094,west,0,3,0,Crafts,Domestic,8.909235279,9.305650552,11.66650455,9.569126087
1095,southwest,1,1,1,Agriculture,Foreign,8.630521877,9.305650552,11.89341459,7.623959589
1096,northeast,3,1,0,Professional,Domestic,9.809176873,10.40426284,12.78380897,7.290156447
1097,northeast,0,3,1,Professional,Domestic,8.881836305,9.852194258,12.04941884,4.135966237
1098,midwest,1,1,0,Sales,Domestic,8.556413905,9.210340372,10.4341158,4.851248709
1099,west,0,1,0,Agriculture,Foreign,9.159047078,10.96819829,14.30396787,8.190631681
1100,midwest,2,1,1,Sales,Domestic,9.841612149,10.59663473,12.98539752,2.944438979
1101,west,2,2,1,Professional,Foreign,9.898475011,10.75790288,11.16336799,8.253553113
1102,southeast,2,2,1,Agriculture,Domestic,10.0647557,10.77895629,11.87756858,6.832277138
1104,southwest,1,3,1,Labor,Domestic,11.40087596,12.3883942,15.18567554,7.529299041
1106,southeast,0,2,1,Sales,Domestic,9.740968623,10.46310334,12.93964174,7.593751956
1109,midwest,4,2,1,Agriculture,Foreign,9.952277717,10.69194491,13.13429195,6.479430877
1110,west,0,2,0,Professional,Domestic,9.350102314,9.680344001,12.36136553,3.755369195
1111,southeast,0,2,0,Labor,Domestic,9.740968623,10.57131693,13.68483223,8.376781038
1112,west,3,1,1,Professional,Foreign,10.40728856,11.65268741,13.91445051,8.696125678
1113,southwest,2,1,1,Professional,Foreign,10.10233841,10.75790288,13.63146752,7.168541376
1114,midwest,1,1,1,Sales,Foreign,9.642122788,10.34174248,12.73963776,7.241115536
1115,midwest,0,2,0,Labor,Domestic,9.472704636,10.46310334,12.96453929,6.868858513
1117,southeast,0,3,0,Sales,Foreign,8.9226583,9.680344001,12.29773983,3.597312261
1118,west,1,2,1,Sales,Domestic,10.81777628,11.28978191,12.16525065,7.236015316
1119,southwest,0,1,1,Sales,Foreign,10.11050172,10.87804719,11.71095632,2.116255515
1120,southwest,0,1,0,Sales,Foreign,8.433811582,9.104979856,11.55598495,6.631540538
1121,northeast,0,1,1,Labor,Domestic,10.21464198,10.79957558,12.59133505,9.082325166
1122,southeast,1,2,1,Labor,Foreign,10.31228045,10.89673933,13.23854513,6.499185356
1124,southeast,0,1,1,Sales,Domestic,10.05190756,10.6454249,13.81511048,6.282547081
1125,northeast,0,2,0,Sales,Domestic,9.480367509,10.1266311,12.88029182,7.691565494
1126,west,0,1,1,Sales,Domestic,9.729134165,10.49127422,13.48700649,3.858622229
1127,northeast,0,5,1,Professional,Domestic,9.71111566,10.30895266,11.44035477,4.374498368
1128,southeast,1,4,1,Sales,Domestic,10.01681624,10.51867319,11.21182037,5.29681624
1129,west,0,1,1,Sales,Domestic,9.210340372,10.30895266,12.9408415,5.11349268
1130,northeast,2,1,0,Service,Domestic,10.14250445,10.87804719,13.65686646,7.589082883
1131,midwest,4,1,1,Sales,Foreign,10.22194128,10.79957558,13.74926391,5.85090854
1133,southwest,0,2,0,Agriculture,Domestic,9.642122788,10.16585182,12.21997555,4.669083512
1134,southwest,0,3,0,Sales,Foreign,9.367344121,10.08580911,12.74606865,3.932805545
1135,northeast,2,1,1,Professional,Foreign,9.37585481,10.04324949,11.07286891,7.88487767
1136,northeast,0,4,1,Professional,Domestic,9.928180165,10.81977828,13.19932442,5.216836125
1137,southeast,4,3,1,Service,Domestic,9.975808214,10.62132735,13.17077252,5.743644008
1138,midwest,2,1,0,Professional,Domestic,8.748304912,9.798127037,12.20507215,4.70682384
1139,southeast,2,2,0,Sales,Domestic,10.16969059,10.83958091,11.71504965,3.71235181
1141,southeast,2,2,1,Professional,Domestic,9.729134165,10.51867319,12.22342128,7.330831071
1142,southeast,0,5,1,Sales,Domestic,9.417354541,10.27505111,12.84766334,5.168493379
1143,midwest,1,2,1,Sales,Foreign,10.53475933,11.12726298,13.30201471,8.356120275
1144,west,0,1,1,Professional,Domestic,8.433811582,9.210340372,10.77895629,6.878171976
1145,northeast,5,2,1,Service,Foreign,10.94199592,11.59910316,14.5487915,8.100935047
1146,northeast,0,2,1,Labor,Foreign,11.41420949,11.97035031,14.17862473,8.960981174
1147,west,1,2,1,Sales,Domestic,9.532423871,10.75790288,11.54636024,6.491406154
1149,northeast,1,1,1,Service,Foreign,10.08163374,10.858999,12.77592161,4.513602992
1150,southeast,0,2,0,Professional,Foreign,9.546812609,9.998797732,11.68519669,6.778671126
1152,midwest,1,3,1,Sales,Domestic,8.809862805,9.998797732,11.83934737,4.841822087
1153,west,0,2,1,Labor,Foreign,11.37251331,12.31940133,15.09199005,8.852028375
1155,southeast,0,2,0,Sales,Foreign,10.75577295,11.54248427,14.1815416,8.065720793
1156,midwest,0,4,1,Professional,Foreign,9.367344121,10.30895266,11.85651517,4.123903364
1157,southeast,1,5,1,Sales,Foreign,9.480367509,10.51867319,12.42078072,6.220689569
1158,west,2,3,1,Agriculture,Foreign,9.472704636,10.20359214,13.31710745,5.710261441
1159,northeast,1,1,0,Crafts,Foreign,8.961879013,9.680344001,12.31223284,5.97926544
1160,northeast,1,2,0,Sales,Domestic,9.878169745,10.16585182,11.92370973,5.710427017
1161,west,0,1,0,Professional,Domestic,10.3859137,11.39639165,13.81230543,8.503915431
1164,northeast,0,4,0,Professional,Domestic,9.836278803,10.1266311,11.25803322,7.691108727
1165,midwest,2,1,0,Sales,Foreign,10.0647557,10.59663473,13.49254667,5.419206684
1166,midwest,2,1,1,Sales,Foreign,9.825526011,10.27505111,12.62642637,6.960916827
1167,northeast,1,1,1,Professional,Domestic,10.19988157,10.77895629,12.28303369,5.040841136
1169,southwest,0,2,0,Professional,Foreign,10.27505111,11.2515607,14.53622427,7.209340257
1170,west,1,2,1,Professional,Foreign,10.93667204,11.44035477,14.23151988,7.749537959
1172,southwest,1,1,0,Labor,Domestic,9.532423871,9.903487553,12.08953883,7.339505227
1173,southeast,0,4,0,Labor,Domestic,10.74289724,11.3736634,13.09643,7.59671872
1174,west,2,1,1,Sales,Domestic,8.987196821,9.546812609,12.26810804,6.265586343
1175,northeast,0,2,0,Agriculture,Foreign,10.23638197,10.69194491,12.86669663,6.227326871
1176,midwest,3,2,0,Service,Domestic,9.425451752,9.798127037,12.68849879,8.149038319
1177,west,0,3,0,Sales,Domestic,9.46498259,9.740968623,11.28853113,5.024209414
1179,southwest,0,2,1,Professional,Domestic,10.29552964,11.23848862,13.22636297,7.37158363
1180,southwest,2,4,1,Professional,Domestic,10.83565163,11.33857208,11.74403719,5.946597926
1181,northeast,0,1,0,Sales,Foreign,9.239899174,9.952277717,12.40328281,6.129703591
1182,midwest,1,2,0,Agriculture,Foreign,10.5815211,11.1124479,14.2303978,8.922004753
1183,southwest,1,1,0,Professional,Foreign,11.2708539,11.71177632,13.04677739,6.614792622
1185,northeast,2,5,0,Sales,Domestic,9.971146201,10.73639668,12.79052041,5.513831891
1186,west,2,4,1,Sales,Foreign,10.29214554,11.26446411,11.26446411,7.854769183
1187,midwest,0,1,0,Professional,Foreign,9.674074388,10.30895266,13.17115354,6.674561392
1189,midwest,0,1,1,Professional,Domestic,11.45529635,12.09514108,13.43014215,6.540885689
1190,southwest,1,1,0,Labor,Foreign,10.74935582,11.28978191,13.79121787,7.3633747
1191,southeast,0,4,0,Sales,Domestic,9.449357272,9.740968623,10.80567936,3.681351188
1192,southwest,0,3,0,Sales,Foreign,9.137769679,9.798127037,12.59540837,4.882423063
1193,northeast,0,1,1,Labor,Domestic,11.27846815,12.54254488,14.06860119,7.993096563
1194,west,2,1,0,Service,Domestic,9.994241916,10.6454249,13.27731374,7.34349091
1195,northeast,0,6,1,Sales,Domestic,9.622450023,10.37349118,12.1313491,5.637820719
1196,southeast,1,1,0,Service,Foreign,10.27159687,10.71441777,11.66992921,8.483108864
1197,west,3,1,0,Service,Domestic,8.71604405,9.472704636,12.81909378,6.932935578
1198,west,1,2,0,Professional,Foreign,9.928180165,10.91508846,13.9596109,4.836281907
1199,midwest,3,1,1,Professional,Domestic,9.126958763,9.903487553,12.82664913,2.711377991
1201,northeast,2,2,1,Labor,Domestic,10.16199825,10.98529272,13.14861575,6.285811857
1202,southeast,0,5,0,Agriculture,Foreign,8.612503371,9.392661929,12.22587527,8.057456675
1203,southwest,3,1,1,Crafts,Foreign,10.19988157,10.96819829,12.75995776,7.221580132
1204,southeast,0,2,1,Sales,Foreign,10.41930072,11.33857208,12.92780728,8.001991339
1205,northeast,3,1,0,Service,Domestic,10.46310334,11.03488966,12.42118403,4.283586562
1206,southeast,1,2,0,Sales,Foreign,9.517825072,10.20359214,12.58313828,6.525982283
1207,southwest,1,3,1,Professional,Domestic,9.994241916,11.05089001,13.91878891,6.611099732
1208,midwest,5,2,0,Service,Foreign,10.261162,10.93310697,12.82017662,5.534969268
1211,southwest,1,1,1,Professional,Domestic,10.03451581,10.46310334,13.14412487,6.064133985
1212,southeast,7,2,0,Service,Foreign,9.071078305,10.27505111,12.92122591,7.347299701
1213,northeast,1,1,0,Sales,Domestic,11.04611673,11.83500896,13.96324067,5.625640737
1214,midwest,0,4,1,Service,Domestic,11.30343824,11.88448902,13.81601043,9.408096369
1215,northeast,3,1,0,Crafts,Foreign,9.116029693,9.952277717,11.92635874,5.695750303
1217,southeast,2,1,1,Agriculture,Foreign,8.630521877,9.546812609,12.27466544,3.356897123
1218,southeast,1,1,1,Professional,Foreign,8.342839804,9.210340372,11.12726298,7.533051793
1220,southeast,0,2,1,Sales,Foreign,11.17745273,11.75194237,13.75342237,5.891229761
1221,southeast,5,3,1,Professional,Foreign,9.350102314,9.998797732,11.88586738,6.696725558
1222,northeast,0,1,0,Sales,Foreign,9.635608107,10.20359214,11.81303006,3.646754528
1223,southeast,2,1,1,Crafts,Domestic,10.82576036,11.17043516,13.94302388,7.018983546
1224,southeast,3,4,1,Labor,Foreign,11.4019939,11.77528973,14.30898654,7.70490205
1225,northeast,0,4,0,Sales,Domestic,9.179881164,9.903487553,12.20607265,3.504054767
1227,midwest,0,5,1,Labor,Foreign,10.1266311,10.77895629,13.24705582,7.350162866
1228,southwest,1,3,0,Service,Domestic,10.15812977,11.00209984,13.72995267,6.065527875
1229,west,1,4,1,Professional,Domestic,9.314700387,9.852194258,11.73926391,5.506550305
1230,west,0,4,1,Sales,Foreign,10.43117029,11.1844214,13.23854513,8.54955389
1231,southeast,1,3,1,Crafts,Domestic,10.3155972,10.93310697,13.47470896,7.720217654
1232,southeast,4,1,1,Sales,Domestic,10.46310334,10.96819829,13.93347136,4.229021132
1233,southwest,1,2,1,Agriculture,Domestic,10.29890232,11.57119437,14.9384902,8.208518984
1234,midwest,0,4,1,Crafts,Domestic,9.517825072,9.998797732,12.36904147,3.18428438
1235,midwest,1,2,1,Sales,Domestic,8.987196821,9.952277717,12.11560074,3.672495975
1236,northeast,0,1,0,Crafts,Foreign,9.764225485,10.62132735,13.64175223,4.11414719
1237,west,0,2,0,Sales,Domestic,10.11455852,10.71441777,13.01700286,7.059145008
1239,southeast,1,2,1,Sales,Domestic,9.76995616,10.4341158,10.61643736,5.542439324
1240,northeast,1,2,1,Professional,Foreign,10.76426557,11.12726298,13.2435185,9.214372233
1242,southeast,2,1,1,Sales,Domestic,9.495519314,10.1266311,12.40901349,7.170311833
1243,northeast,0,1,0,Labor,Domestic,9.082507,9.852194258,10.8077057,7.655295943
1244,southeast,0,4,1,Labor,Foreign,9.820105944,10.69194491,13.76925717,7.582458409
1245,southeast,0,2,1,Sales,Domestic,10.52406404,11.30220443,14.5980413,9.36223279
1246,southwest,0,2,1,Sales,Foreign,9.957028319,10.77895629,12.34757221,9.15888917
1248,southwest,0,1,1,Sales,Foreign,9.210340372,9.852194258,13.44676303,2.360854001
1249,midwest,2,1,1,Labor,Foreign,9.137769679,9.680344001,11.72156433,7.863766599
1250,southeast,3,1,1,Crafts,Foreign,10.38282251,11.12726298,12.8851209,8.645005763
1252,southwest,1,1,1,Service,Domestic,9.92329018,10.54534144,13.3844199,6.458965046
1253,northeast,1,5,1,Sales,Domestic,9.532423871,10.27505111,13.02871182,6.956735901
1254,southeast,0,5,1,Service,Foreign,11.22923541,11.6351431,12.73375539,6.744942189
1255,west,1,2,1,Labor,Foreign,9.560997244,10.51867319,12.50654754,8.075100405
1256,west,1,2,1,Sales,Foreign,9.898475011,10.4341158,12.86772916,7.057467552
1257,southeast,0,1,1,Crafts,Domestic,10.18866649,10.73639668,12.49425459,6.79660023
1259,west,1,1,1,Professional,Domestic,9.705036614,10.49127422,13.10134401,6.98804411
1260,midwest,2,2,0,Crafts,Domestic,10.6666271,11.19821472,13.64056176,9.235262227
1261,midwest,1,2,0,Service,Domestic,9.093806556,9.903487553,11.57119437,5.553540811
1263,midwest,0,1,1,Labor,Foreign,11.2935249,12.1388639,12.88080124,7.903189853
1264,northeast,0,2,0,Labor,Domestic,9.635608107,10.37349118,12.66602594,7.966222427
1265,midwest,0,1,1,Crafts,Domestic,9.775654181,10.23995979,12.82772382,4.480740108
1266,west,4,3,1,Service,Domestic,8.517193191,9.680344001,12.11395736,6.195221385
1267,southeast,2,3,1,Professional,Domestic,11.38167718,11.8913619,14.28925717,8.013260424
1268,midwest,1,1,0,Professional,Foreign,9.705036614,10.30895266,11.99535161,4.635699391
1269,southwest,0,1,1,Sales,Domestic,9.723163998,10.71441777,12.66032792,6.170656211
1270,midwest,0,3,0,Service,Domestic,10.16199825,10.93310697,13.02497103,6.078444674
1271,midwest,0,2,1,Sales,Foreign,10.09410791,11.00209984,13.2946346,6.386963491
1272,midwest,1,3,1,Crafts,Domestic,8.748304912,9.798127037,11.25674206,3.027715319
1273,midwest,2,1,1,Sales,Domestic,9.642122788,10.08580911,13.09149171,6.527153501
1274,southwest,1,1,0,Crafts,Foreign,9.384293679,10.16585182,11.81451044,6.639222025
1275,northeast,3,1,1,Labor,Foreign,10.27849345,10.91508846,13.71844885,7.093487679
1276,northeast,0,1,1,Professional,Domestic,9.642122788,10.40426284,13.20154418,4.680277658
1277,southeast,2,4,1,Labor,Foreign,10.53741537,11.26446411,14.03705283,6.79671198
1278,west,0,1,1,Sales,Domestic,9.510444964,9.903487553,12.44508955,4.461877016
1279,northeast,2,6,1,Professional,Domestic,9.200290036,9.852194258,12.07139774,6.113460916
1280,northeast,0,3,0,Sales,Domestic,9.503009986,10.1266311,13.42984808,7.850298382
1281,northeast,0,1,0,Labor,Foreign,10.13459927,10.75790288,13.37529871,7.565508415
1282,southwest,4,1,0,Service,Domestic,8.612503371,9.104979856,12.09569959,6.157190828
1283,west,3,3,0,Professional,Domestic,8.536995819,9.546812609,11.30467053,5.914313488
1284,northeast,3,1,0,Labor,Foreign,10.43117029,11.00209984,14.05610102,8.095095526
1285,northeast,0,2,1,Professional,Foreign,9.249561085,9.952277717,12.09234388,8.632261434
1286,southeast,0,4,1,Labor,Domestic,10.20359214,10.89673933,13.63757935,5.611484421
1287,southeast,2,2,0,Professional,Foreign,9.609116492,10.37349118,12.55954246,5.499215309
1288,southeast,1,1,0,Sales,Foreign,8.648221454,9.392661929,10.03451581,5.678293712
1289,southeast,0,2,0,Sales,Foreign,10.06900199,11.1124479,13.21658205,7.827659474
1290,southeast,1,1,1,Professional,Domestic,8.809862805,9.852194258,9.947504438,6.550437271
1291,southwest,3,2,1,Professional,Foreign,9.998797732,10.59663473,12.10071213,5.088830142
1292,southeast,0,3,0,Labor,Domestic,9.126958763,9.952277717,10.78518684,8.631476778
1293,southwest,1,2,1,Sales,Foreign,11.23453344,12.09514108,13.72438162,9.531833117
1294,midwest,0,3,0,Crafts,Foreign,9.011889433,9.740968623,11.78218895,4.48187197
1295,west,1,3,1,Crafts,Foreign,9.220290703,9.952277717,11.80857571,5.733664849
1296,southeast,2,3,1,Sales,Domestic,9.729134165,10.23995979,11.65094676,7.200574136
1297,southeast,2,1,0,Service,Foreign,9.609116492,10.23995979,12.74139574,4.930148043
1298,northeast,2,4,1,Crafts,Domestic,11.28225365,12.04355372,13.54763111,7.092407451
1299,midwest,1,1,1,Labor,Foreign,11.19134184,11.76756768,14.33251704,6.687669548
1300,northeast,0,2,0,Sales,Foreign,9.918376165,10.27505111,12.89244694,5.220085518
1301,west,0,4,1,Sales,Domestic,9.841612149,10.23995979,13.03724112,5.002603122
1302,southwest,1,3,1,Professional,Foreign,10.15424627,10.73639668,10.37972173,4.259859001
1303,midwest,1,4,1,Sales,Domestic,10.71219307,11.2515607,13.65850581,6.161945446
1305,northeast,1,3,1,Sales,Foreign,9.525151112,10.34174248,10.74720759,4.597138014
1306,northeast,2,2,0,Labor,Foreign,9.971146201,10.77895629,13.4803175,3.673765816
1307,northeast,0,1,0,Sales,Foreign,9.449357272,10.30895266,13.19932442,3.258096538
1308,west,1,1,1,Labor,Domestic,10.85127695,11.49272276,13.9523116,7.358767202
1309,northeast,0,4,0,Sales,Domestic,10.35456317,10.95080655,13.0549407,2.613739522
1311,northeast,1,1,1,Service,Domestic,10.34817337,10.93310697,12.907188,6.74223184
1312,southeast,3,1,0,Sales,Foreign,11.16761428,11.86358234,14.53773099,7.481978148
